GENESIS-Tabelle: 12421-0002
Projected population figures: Germany, reference date,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variants of the population projection, sex, age years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Population projections;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Projected population figures (1000);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date
;;;;2020-12-31;2021-12-31;2022-12-31;2023-12-31;2024-12-31;2025-12-31;2026-12-31;2027-12-31;2028-12-31;2029-12-31;2030-12-31;2031-12-31;2032-12-31;2033-12-31;2034-12-31;2035-12-31;2036-12-31;2037-12-31;2038-12-31;2039-12-31;2040-12-31;2041-12-31;2042-12-31;2043-12-31;2044-12-31;2045-12-31;2046-12-31;2047-12-31;2048-12-31;2049-12-31;2050-12-31
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;under 1 year;406;405;403;401;397;394;389;385;380;374;368;363;358;353;349;345;341;338;335;332;330;329;328;329;329;330;332;333;335;337;339
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;1 year;409;408;407;405;402;399;395;391;386;380;375;369;364;359;354;350;346;342;339;336;333;331;330;329;330;330;331;333;335;336;338
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;2 years;409;411;410;409;407;404;400;396;392;387;381;375;370;365;360;355;351;346;343;339;336;334;332;331;330;330;331;332;334;335;337
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;3 years;409;411;412;412;410;408;405;401;397;392;387;382;376;370;365;360;356;351;347;343;340;337;335;333;331;331;331;332;333;334;336
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;4 years;413;411;412;413;413;411;409;406;402;398;393;388;382;377;371;366;361;356;352;348;344;340;337;335;333;332;331;331;332;333;335
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;5 years;401;415;412;413;414;414;412;410;406;402;398;393;388;383;377;371;366;361;356;352;348;344;341;338;335;334;332;332;332;332;334
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;6 years;395;402;416;413;414;415;414;413;410;407;403;398;393;388;383;377;371;366;361;357;352;348;344;341;338;336;334;332;332;332;333
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;7 years;381;396;403;416;413;415;416;415;413;410;407;403;399;394;389;383;378;372;367;362;357;353;348;345;341;338;336;334;333;332;332
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Male;8 years;380;382;397;404;417;414;415;416;415;413;411;407;403;399;394;389;384;378;372;367;362;357;353;349;345;342;339;336;334;333;332
