GENESIS-Tabelle: 12613-0003
Deaths: Germany, years, sex, age years;;;;;;;;;;;;;;;;;;;;;;;
Death statistics;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;
Deaths (number);;;;;;;;;;;;;;;;;;;;;;;
;;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Male;under 1 year;1917;1815;1670;1700;1629;1541;1429;1518;1381;1339;1294;1347;1207;1268;1266;1297;1494;1418;1399;1387;1283;1313
Male;1 year;183;175;156;157;144;130;122;134;105;136;102;105;99;106;80;108;114;109;107;110;78;89
Male;2 years;101;113;83;83;68;77;70;52;87;65;68;66;52;58;37;65;68;58;57;65;41;45
Male;3 years;91;106;74;78;65;69;60;59;51;52;47;48;39;47;58;44;37;37;51;53;40;46
Male;4 years;62;61;48;63;52;62;50;56;41;60;44;37;51;34;39;42;44;31;45;45;46;43
Male;5 years;47;53;63;55;51;50;49;54;37;37;41;38;43;42;26;30;46;33;33;43;30;44
Male;6 years;66;48;46;58;40;48;41;42;38;39;42;34;31;27;37;35;41;28;32;40;31;28
Male;7 years;44;45;47;58;46;42;42;43;34;35;29;27;31;34;32;27;33;25;38;33;39;28
Male;8 years;58;45;47;57;41;48;41;49;36;29;31;34;33;29;23;28;38;28;30;25;31;21
Male;9 years;64;61;31;47;38;46;44;32;41;31;30;30;29;45;36;24;28;24;38;29;24;29
Male;10 years;50;51;46;41;33;31;30;39;38;33;27;46;27;23;25;29;31;23;35;28;22;25
Male;11 years;74;60;71;68;54;39;38;39;41;40;28;36;38;23;37;31;32;28;27;28;24;23
Male;12 years;77;76;70;63;50;55;56;48;46;34;55;48;37;31;38;29;22;22;34;37;30;28
Male;13 years;75;96;69;65;55;72;57;33;37;37;51;49;53;38;38;31;42;32;36;35;35;41
Male;14 years;80;101;85;109;80;76;58;64;67;74;60;50;58;40;50;44;50;53;55;44;43;49
Male;15 years;106;108;112;132;106;99;96;81;88;87;79;52;69;66;58;67;59;57;75;60;46;70
Male;16 years;203;201;216;181;165;162;142;164;126;108;105;111;105;101;107;104;114;92;101;80;90;88
Male;17 years;269;210;248;253;229;201;193;149;168;164;132;140;153;115;123;124;131;112;111;109;105;109
Male;18 years;434;439;405;339;337;316;304;286;283;247;205;198;183;180;154;168;182;154;178;180;134;158
Male;19 years;452;418;426;382;348;289;309;310;272;238;241;217;196;191;188;181;185;194;174;179;188;189
Male;20 years;497;443;403;385;323;306;305;314;287;302;232;268;218;190;188;209;208;205;199;192;186;178
Male;21 years;418;424;414;407;344;321;285;308;285;254;288;284;225;201;206;227;179;187;210;185;187;198
Male;22 years;415;396;410;356;360;304;303;300;261;273;268;275;256;209;179;215;242;190;216;201;195;193
Male;23 years;381;402;380;369;350;322;290;285;289;238;258;302;278;239;256;213;209;190;197;193;226;192
Male;24 years;411;350;359;363;341;337;295;296;283;277;262;303;259;239;257;250;243;235;232;219;224;217
Male;25 years;381;348;332;382;346;311;314;310;289;295;262;263;267;271;276;261;242;218;222;224;215;201
Male;26 years;389;334;310;379;339;328;341;322;314;297;313;261;273;282;252;270;260;245;242;214;219;247
Male;27 years;398;366;349;359;312;346;262;324;309;334;343;283;268;240;278;304;288;235;256;238;221;239
Male;28 years;468;365;351;360;337;318;300;321;291;322;318;281;269;284;277;288;273;279;278;278;210;271
Male;29 years;521;431;386;335;306;330;293;298;336;318;351;337;295;285;267;340;304;301;283;273;288;254
Male;30 years;556;483;441;370;321;313;310;296;329;342;300;322;314;334;285;318;300;322;318;285;312;328
Male;31 years;598;538;472;474;377;377;317;353;343;370;318;367;319;326;351;377;347;350;310;358;319;337
Male;32 years;674;626;515;498;472;376;339;353;360;349;369;350;375;340;350;389;359;340;319;369;345;324
Male;33 years;713;660;622;564;512;478;379;351;367;312;390;393;315;350;367;392;357;417;394;376;387;343
Male;34 years;827;712;697;667;584;517;470;402;381;388;393;344;362;390;394;415;446;402;383;365;390;430
Male;35 years;871;860;762;775;686;588;533;480;417;432;403;352;355;411;424;468;466;417;402;395;418;451
Male;36 years;958;913;864;835;766;694;575;568;509;436;448;388;403;395;427;445;456;476;432;496;494;481
Male;37 years;1052;982;963;891;838;713;737;630;604;536;470;445;422;405;403;490;483;541;500;522;586;568
Male;38 years;1148;1137;1113;1029;967;882;822;723;677;659;640;516;472;466;519;469;529;535;559;497;566;620
Male;39 years;1216;1210;1190;1183;1102;1014;973;856;793;716;719;613;520;558;480;523;551;525;584;581;640;643
Male;40 years;1383;1320;1364;1252;1214;1169;1117;991;972;898;783;761;658;586;538;603;637;566;611;599;681;689
Male;41 years;1465;1396;1373;1400;1356;1311;1193;1114;1086;1004;950;793;804;707;622;665;619;608;698;749;726;726
Male;42 years;1582;1555;1531;1565;1574;1411;1382;1264;1217;1066;1109;1019;913;840;808;737;711;643;709;666;708;773
Male;43 years;1684;1653;1657;1739;1686;1590;1536;1532;1393;1356;1285;1185;1080;1020;976;909;772;732;736;765;811;894
Male;44 years;1850;1746;1799;1738;1780;1741;1765;1634;1548;1550;1451;1350;1315;1181;1062;1029;1037;878;833;790;871;940
Male;45 years;1931;1919;2048;1970;1881;1876;1874;1786;1749;1750;1661;1489;1535;1420;1335;1288;1164;1071;966;897;880;986
Male;46 years;2098;2133;2087;2157;2074;2065;1937;2006;1999;1893;1813;1757;1657;1668;1457;1449;1353;1291;1173;1015;971;1084
Male;47 years;2200;2286;2272;2320;2203;2214;2181;2174;2122;2151;2143;1988;1883;1809;1746;1715;1588;1438;1376;1334;1104;1213
Male;48 years;2440;2375;2415;2441;2343;2374;2317;2442;2305;2382;2214;2216;2106;2099;2006;1939;1865;1743;1580;1540;1475;1355
Male;49 years;2662;2530;2591;2609;2530;2537;2531;2523;2553;2505;2497;2402;2426;2407;2265;2248;2172;1932;1934;1768;1749;1797
Male;50 years;2741;2727;2856;2835;2694;2707;2645;2674;2677;2676;2645;2679;2607;2540;2584;2548;2417;2252;2257;2008;1995;2067
Male;51 years;2937;2945;2945;2915;2821;2916;2997;2889;2814;3042;3086;2986;2831;2937;2776;2764;2722;2580;2539;2352;2350;2401
Male;52 years;2821;3044;3297;3239;3211;3182;3132;3091;3137;3084;3068;3150;3175;3170;3079;3197;3048;2905;2893;2736;2650;2782
Male;53 years;3083;2996;3254;3497;3452;3339;3280;3287;3315;3254;3335;3343;3226;3454;3407;3456;3376;3296;3321;3086;3088;3060
Male;54 years;2710;3242;3362;3559;3615;3728;3590;3519;3566;3644;3676;3501;3644;3725;3648;3724;3744;3715;3662;3489;3463;3467
Male;55 years;3383;2878;3506;3564;3730;3944;3819;3841;3642;3843;3801;3815;3778;3888;3775;4054;4013;3927;4095;3881;4009;4089
Male;56 years;4262;3461;3028;3625;3603;4113;4077;4062;4065;3953;4133;3933;3991;4071;4037;4282;4319;4329;4356;4265;4488;4559
