GENESIS-Tabelle: 12613-0004
Deaths: Germany, years, nationality, sex, age years;;;;;;;;;;
Death statistics;;;;;;;;;;
Germany;;;;;;;;;;
Deaths (number);;;;;;;;;;
;;Male;Male;Male;Female;Female;Female;Total;Total;Total
;;Germans;Foreigners;Total;Germans;Foreigners;Total;Germans;Foreigners;Total
2000;under 1 year;1649;268;1917;1204;241;1445;2853;509;3362
2000;1 year;153;30;183;112;27;139;265;57;322
2000;2 years;78;23;101;70;17;87;148;40;188
2000;3 years;75;16;91;51;9;60;126;25;151
2000;4 years;53;9;62;36;7;43;89;16;105
2000;5 years;37;10;47;38;4;42;75;14;89
2000;6 years;56;10;66;32;2;34;88;12;100
2000;7 years;40;4;44;37;8;45;77;12;89
2000;8 years;50;8;58;34;3;37;84;11;95
2000;9 years;55;9;64;33;5;38;88;14;102
2000;10 years;46;4;50;41;6;47;87;10;97
2000;11 years;67;7;74;46;5;51;113;12;125
2000;12 years;68;9;77;38;3;41;106;12;118
2000;13 years;68;7;75;51;1;52;119;8;127
2000;14 years;76;4;80;54;9;63;130;13;143
2000;15 years;95;11;106;78;11;89;173;22;195
2000;16 years;195;8;203;85;6;91;280;14;294
2000;17 years;257;12;269;115;7;122;372;19;391
2000;18 years;411;23;434;144;12;156;555;35;590
2000;19 years;418;34;452;148;15;163;566;49;615
2000;20 years;445;52;497;143;19;162;588;71;659
2000;21 years;386;32;418;118;16;134;504;48;552
2000;22 years;377;38;415;124;8;132;501;46;547
2000;23 years;338;43;381;126;17;143;464;60;524
2000;24 years;367;44;411;116;21;137;483;65;548
2000;25 years;303;78;381;96;19;115;399;97;496
2000;26 years;345;44;389;113;14;127;458;58;516
2000;27 years;344;54;398;138;26;164;482;80;562
2000;28 years;406;62;468;155;27;182;561;89;650
2000;29 years;467;54;521;179;26;205;646;80;726
2000;30 years;505;51;556;169;20;189;674;71;745
2000;31 years;551;47;598;242;25;267;793;72;865
2000;32 years;624;50;674;284;22;306;908;72;980
2000;33 years;668;45;713;313;22;335;981;67;1048
2000;34 years;775;52;827;350;20;370;1125;72;1197
2000;35 years;807;64;871;388;22;410;1195;86;1281
2000;36 years;904;54;958;420;31;451;1324;85;1409
2000;37 years;987;65;1052;481;35;516;1468;100;1568
2000;38 years;1083;65;1148;560;27;587;1643;92;1735
2000;39 years;1143;73;1216;559;34;593;1702;107;1809
2000;40 years;1308;75;1383;582;36;618;1890;111;2001
2000;41 years;1390;75;1465;668;33;701;2058;108;2166
2000;42 years;1509;73;1582;785;43;828;2294;116;2410
2000;43 years;1614;70;1684;805;38;843;2419;108;2527
2000;44 years;1767;83;1850;867;39;906;2634;122;2756
2000;45 years;1863;68;1931;933;55;988;2796;123;2919
2000;46 years;2020;78;2098;997;35;1032;3017;113;3130
2000;47 years;2103;97;2200;1086;45;1131;3189;142;3331
2000;48 years;2345;95;2440;1189;75;1264;3534;170;3704
2000;49 years;2558;104;2662;1259;70;1329;3817;174;3991
2000;50 years;2602;139;2741;1366;88;1454;3968;227;4195
2000;51 years;2796;141;2937;1417;83;1500;4213;224;4437
2000;52 years;2654;167;2821;1435;72;1507;4089;239;4328
2000;53 years;2886;197;3083;1428;94;1522;4314;291;4605
2000;54 years;2520;190;2710;1269;80;1349;3789;270;4059
2000;55 years;3182;201;3383;1560;70;1630;4742;271;5013
2000;56 years;4040;222;4262;2077;85;2162;6117;307;6424
2000;57 years;4301;227;4528;2133;92;2225;6434;319;6753
2000;58 years;5371;242;5613;2570;92;2662;7941;334;8275
2000;59 years;6209;268;6477;2946;90;3036;9155;358;9513
2000;60 years;7297;275;7572;3470;107;3577;10767;382;11149
2000;61 years;7568;270;7838;3628;103;3731;11196;373;11569
2000;62 years;7549;270;7819;3665;105;3770;11214;375;11589
2000;63 years;8057;262;8319;3841;88;3929;11898;350;12248
2000;64 years;8236;240;8476;4259;93;4352;12495;333;12828
2000;65 years;9243;234;9477;4608;85;4693;13851;319;14170
2000;66 years;8495;232;8727;4429;78;4507;12924;310;13234
2000;67 years;8355;213;8568;4333;81;4414;12688;294;12982
2000;68 years;9100;234;9334;4976;87;5063;14076;321;14397
2000;69 years;10017;178;10195;5685;91;5776;15702;269;15971
2000;70 years;11299;214;11513;6686;97;6783;17985;311;18296
2000;71 years;11913;200;12113;7179;88;7267;19092;288;19380
2000;72 years;11606;171;11777;7957;102;8059;19563;273;19836
2000;73 years;10973;148;11121;8633;83;8716;19606;231;19837
2000;74 years;11063;179;11242;9726;119;9845;20789;298;21087
2000;75 years;10629;163;10792;10939;108;11047;21568;271;21839
2000;76 years;10169;147;10316;11942;99;12041;22111;246;22357
2000;77 years;11130;153;11283;13168;113;13281;24298;266;24564
2000;78 years;12212;129;12341;15210;117;15327;27422;246;27668
2000;79 years;12506;135;12641;17104;113;17217;29610;248;29858
2000;80 years;11951;143;12094;17915;131;18046;29866;274;30140
2000;81 years;7235;95;7330;11137;67;11204;18372;162;18534
2000;82 years;6228;78;6306;9914;70;9984;16142;148;16290
2000;83 years;6605;74;6679;11444;71;11515;18049;145;18194
2000;84 years;7259;74;7333;13642;78;13720;20901;152;21053
2000;85 years;9820;79;9899;20142;113;20255;29962;192;30154
2000;86 years;10226;60;10286;21708;94;21802;31934;154;32088
2000;87 years;9645;69;9714;22052;101;22153;31697;170;31867
