Year,Age,Male_Germans,Female_Germans,Total_Germans
2000-01-01,0,1649,1204,2853
2000-01-01,1,153,112,265
2000-01-01,2,78,70,148
2000-01-01,3,75,51,126
2000-01-01,4,53,36,89
2000-01-01,5,37,38,75
2000-01-01,65,9243,4608,13851
2000-01-01,66,8495,4429,12924
2000-01-01,67,8355,4333,12688
2000-01-01,68,9100,4976,14076
2000-01-01,69,10017,5685,15702
2000-01-01,70,11299,6686,17985
2000-01-01,71,11913,7179,19092
2000-01-01,72,11606,7957,19563
2000-01-01,73,10973,8633,19606
2000-01-01,74,11063,9726,20789
2000-01-01,75,10629,10939,21568
2000-01-01,76,10169,11942,22111
2000-01-01,77,11130,13168,24298
2000-01-01,78,12212,15210,27422
2000-01-01,79,12506,17104,29610
2000-01-01,80,11951,17915,29866
2000-01-01,81,7235,11137,18372
2000-01-01,82,6228,9914,16142
2000-01-01,83,6605,11444,18049
2000-01-01,84,7259,13642,20901
2000-01-01,85,9820,20142,29962
2000-01-01,86,10226,21708,31934
2000-01-01,87,9645,22052,31697
2000-01-01,88,8487,20802,29289
2000-01-01,89,7329,19556,26885
2000-01-01,90,6367,17967,24334
2000-01-01,91,5334,16157,21491
2000-01-01,92,4228,13931,18159
2000-01-01,93,3216,11213,14429
2000-01-01,94,2422,8731,11153
2000-01-01,95,1721,6610,8331
2000-01-01,96,1254,4828,6082
2000-01-01,97,820,3593,4413
2000-01-01,98,484,2562,3046
2000-01-01,99,321,1594,1915
2000-01-01,100,422,2503,2925
2001-01-01,0,1581,1143,2724
2001-01-01,1,150,118,268
2001-01-01,2,100,65,165
2001-01-01,3,95,53,148
2001-01-01,4,53,59,112
2001-01-01,5,46,28,74
2001-01-01,65,8649,4487,13136
2001-01-01,66,9324,4926,14250
2001-01-01,67,8567,4617,13184
2001-01-01,68,8468,4573,13041
2001-01-01,69,9315,5372,14687
2001-01-01,70,10551,6109,16660
2001-01-01,71,11563,6929,18492
2001-01-01,72,11901,7701,19602
2001-01-01,73,11729,8368,20097
2001-01-01,74,11245,9206,20451
2001-01-01,75,11152,10334,21486
2001-01-01,76,10742,11652,22394
2001-01-01,77,10589,12390,22979
2001-01-01,78,11103,13923,25026
2001-01-01,79,12010,16475,28485
2001-01-01,80,12324,18000,30324
2001-01-01,81,12083,18694,30777
2001-01-01,82,6854,11518,18372
2001-01-01,83,5768,10195,15963
2001-01-01,84,6094,11402,17496
2001-01-01,85,6758,13665,20423
2001-01-01,86,9275,20247,29522
2001-01-01,87,9389,21452,30841
2001-01-01,88,8591,21047,29638
2001-01-01,89,7437,19624,27061
2001-01-01,90,6172,17922,24094
2001-01-01,91,5380,16826,22206
2001-01-01,92,4273,14267,18540
2001-01-01,93,3223,11917,15140
2001-01-01,94,2557,9470,12027
2001-01-01,95,1896,7130,9026
2001-01-01,96,1295,5272,6567
2001-01-01,97,857,3795,4652
2001-01-01,98,552,2620,3172
2001-01-01,99,324,1782,2106
2001-01-01,100,449,2781,3230
2002-01-01,0,1493,1215,2708
2002-01-01,1,139,136,275
2002-01-01,2,73,66,139
2002-01-01,3,64,60,124
2002-01-01,4,44,49,93
2002-01-01,5,54,37,91
2002-01-01,65,8793,4500,13293
2002-01-01,66,9092,4878,13970
