year,15 to 30_Female,30 to 65_Female,65 to 80_Female,80+_Female,under 15_Female,15 to 30_Male,30 to 65_Male,65 to 80_Male,80+_Male,under 15_Male
2020,6638,19908,6540,3180,5943,7175,20198,5608,1925,6251
2021,6537,19923,6502,3312,5994,7043,20255,5602,2037,6296
2022,6466,19878,6508,3408,6046,6947,20242,5630,2121,6340
2023,6414,19808,6609,3416,6083,6870,20207,5735,2137,6373
2024,6360,19723,6714,3429,6111,6784,20155,5848,2160,6398
2025,6303,19587,6860,3430,6142,6698,20059,5997,2170,6429
2026,6252,19432,7108,3344,6162,6615,19941,6230,2104,6443
2027,6169,19270,7344,3287,6182,6503,19815,6449,2070,6464
2028,6087,19102,7538,3270,6186,6391,19682,6641,2067,6466
2029,6014,18896,7734,3273,6182,6291,19506,6836,2084,6459
2030,5961,18670,7901,3307,6155,6216,19306,7017,2120,6434
2031,5920,18456,8041,3352,6118,6164,19103,7170,2162,6394
2032,5919,18224,8183,3401,6061,6150,18882,7327,2203,6339
2033,5924,17990,8298,3451,6005,6148,18664,7457,2249,6282
2034,5939,17767,8399,3508,5941,6162,18442,7571,2294,6218
2035,5959,17566,8459,3570,5875,6182,18255,7643,2349,6152
2036,5990,17397,8477,3635,5807,6212,18095,7668,2410,6081
2037,6029,17237,8468,3715,5733,6243,17942,7663,2480,6009
2038,6058,17128,8397,3801,5666,6270,17846,7604,2559,5937
2039,6084,17055,8284,3896,5596,6294,17786,7497,2640,5867
2040,6120,16971,8146,4009,5531,6323,17717,7369,2740,5796
2041,6141,16905,7983,4131,5469,6345,17652,7232,2846,5731
2042,6171,16816,7823,4266,5406,6373,17569,7090,2957,5669
2043,6185,16723,7669,4401,5355,6384,17482,6958,3071,5615
2044,6193,16627,7502,4540,5307,6393,17393,6819,3192,5563
2045,6182,16541,7345,4678,5266,6375,17308,6685,3309,5521
2046,6159,16433,7224,4802,5231,6351,17207,6587,3414,5486
2047,6115,16346,7104,4913,5204,6309,17119,6495,3511,5455
2048,6072,16251,6999,5003,5181,6264,17020,6428,3589,5435
2049,6022,16171,6902,5078,5167,6212,16925,6364,3649,5416
2050,5971,16092,6828,5120,5157,6157,16832,6329,3689,5409
