"Kategorie";"2018-2021 (Median) (x)";"2018-2021 (Median) (y)";"2018-2021 (min./max.) (low)";"2018-2021 (min./max.) (high)";"2022 (x)";"2022 (y)";"2022 (darunter COVID-19) (x)";"2022 (darunter COVID-19) (y)"
"1";1;695;681;1034;1;830;1;22
"2";2;709;699;929;2;714;2;30
"3";3;750;695;922;3;783;3;27
"4";4;720;698;820;4;794;4;28
"5";5;744;707;813;5;794;5;42
"6";6;758;747;785;6;865;6;43
"7";7;767;687;806;7;824;7;31
"8";8;745;688;873;8;818;8;43
"9";9;781;734;852;9;769;9;33
"10";10;721;676;969;10;752;10;23
"11";11;722;694;900;11;762;11;23
"12";12;685;675;860;12;780;12;25
"13";13;712;650;784;13;761;13;28
"14";14;722;672;771;14;778;14;23
"15";15;731;702;740;15;708;15;13
"16";16;666;660;718;16;690;16;20
"17";17;673;631;691;17;725;17;14
"18";18;666;624;704;18;671;18;17
"19";19;673;662;683;19;703;19;11
"20";20;650;630;666;20;716;20;10
"21";21;631;624;669;21;622;21;4
"22";22;644;620;675;22;674;22;
"23";23;645;613;676;23;675;23;
"24";24;666;592;694;24;668;24;5
"25";25;628;614;693;25;736;25;9
"26";26;643;553;662;26;695;26;7
"27";27;607;603;657;27;687;27;8
"28";28;611;562;665;28;706;28;17
"29";29;611;592;630;29;713;29;25
"30";30;667;646;686;30;692;30;22
"31";31;666;629;803;31;702;31;20
"32";32;663;603;729;32;687;32;11
"33";33;682;607;740;33;684;33;13
"34";34;608;600;682;34;683;34;
"35";35;651;623;715;35;;35;
"36";36;624;611;646;36;;36;
"37";37;642;588;655;37;;37;
"38";38;649;633;694;38;;38;
"39";39;660;589;678;39;;39;
"40";40;655;606;679;40;;40;
"41";41;656;617;699;41;;41;
"42";42;680;594;706;42;;42;
"43";43;690;625;797;43;;43;
"44";44;692;622;723;44;;44;
"45";45;697;641;740;45;;45;
"46";46;707;629;850;46;;46;
"47";47;753;627;793;47;;47;
"48";48;749;646;856;48;;48;
"49";49;764;704;964;49;;49;
"50";50;783;632;943;50;;50;
"51";51;734;660;1021;51;;51;
"52";52;775;659;1030;52;;52;
