Country Name,Country Code,"2022 [YR2022] - Population, total [SP.POP.TOTL]","2023 [YR2023] - Population, total [SP.POP.TOTL]","2024 [YR2024] - Population, total [SP.POP.TOTL]","2025 [YR2025] - Population, total [SP.POP.TOTL]","2026 [YR2026] - Population, total [SP.POP.TOTL]","2027 [YR2027] - Population, total [SP.POP.TOTL]","2028 [YR2028] - Population, total [SP.POP.TOTL]","2029 [YR2029] - Population, total [SP.POP.TOTL]","2030 [YR2030] - Population, total [SP.POP.TOTL]","2031 [YR2031] - Population, total [SP.POP.TOTL]","2032 [YR2032] - Population, total [SP.POP.TOTL]","2033 [YR2033] - Population, total [SP.POP.TOTL]","2034 [YR2034] - Population, total [SP.POP.TOTL]","2035 [YR2035] - Population, total [SP.POP.TOTL]","2036 [YR2036] - Population, total [SP.POP.TOTL]","2037 [YR2037] - Population, total [SP.POP.TOTL]","2038 [YR2038] - Population, total [SP.POP.TOTL]","2039 [YR2039] - Population, total [SP.POP.TOTL]","2040 [YR2040] - Population, total [SP.POP.TOTL]","2041 [YR2041] - Population, total [SP.POP.TOTL]","2042 [YR2042] - Population, total [SP.POP.TOTL]","2043 [YR2043] - Population, total [SP.POP.TOTL]","2044 [YR2044] - Population, total [SP.POP.TOTL]","2045 [YR2045] - Population, total [SP.POP.TOTL]","2046 [YR2046] - Population, total [SP.POP.TOTL]","2047 [YR2047] - Population, total [SP.POP.TOTL]","2048 [YR2048] - Population, total [SP.POP.TOTL]","2049 [YR2049] - Population, total [SP.POP.TOTL]","2050 [YR2050] - Population, total [SP.POP.TOTL]"
Afghanistan,AFG,40754000,41681000,42609000,43532000,44449000,45364000,46275000,47185000,48094000,49000000,49904000,50804000,51699000,52587000,53469000,54343000,55209000,56065000,56912000,57748000,58574000,59387000,60188000,60974000,61746000,62503000,63245000,63972000,64683000
Africa Eastern and Southern,AFE,712311000,730197000,748355000,766798000,785527000,804533000,823801000,843314000,863050000,883012000,903185000,923554000,944106000,964824000,985693000,1006710000,1027862000,1049150000,1070559000,1092092000,1113726000,1135459000,1157272000,1179157000,1201096000,1223089000,1245123000,1267186000,1289282000
Africa Western and Central,AFW,483203000,495715000,508457000,521426000,534628000,548057000,561708000,575580000,589662000,603958000,618460000,633162000,648061000,663151000,678423000,693877000,709496000,725277000,741208000,757279000,773484000,789816000,806260000,822806000,839444000,856170000,872979000,889863000,906826000
Albania,ALB,2804000,2796000,2787000,2778000,2768000,2758000,2748000,2738000,2727000,2715000,2703000,2690000,2676000,2660000,2644000,2627000,2609000,2590000,2570000,2550000,2529000,2509000,2487000,2466000,2444000,2422000,2401000,2379000,2356000
Algeria,DZA,45350000,46053000,46731000,47388000,48022000,48634000,49226000,49801000,50361000,50908000,51444000,51971000,52494000,53016000,53537000,54059000,54583000,55110000,55640000,56174000,56711000,57250000,57789000,58326000,58859000,59388000,59911000,60423000,60923000
American Samoa,ASM,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
Andorra,AND,77000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,77000,77000,77000,77000,77000,76000,76000
Angola,AGO,35027000,36149000,37299000,38478000,39688000,40929000,42200000,43502000,44835000,46198000,47593000,49017000,50471000,51953000,53462000,55000000,56566000,58160000,59782000,61432000,63110000,64814000,66544000,68298000,70075000,71877000,73701000,75549000,77420000
Antigua and Barbuda,ATG,100000,100000,101000,102000,102000,103000,104000,104000,105000,105000,106000,106000,107000,107000,108000,108000,108000,109000,109000,109000,110000,110000,110000,110000,110000,111000,111000,111000,111000
Arab World,ARB,453132000,461824000,470463000,478949000,487244000,495379000,503381000,511290000,519145000,526944000,534679000,542372000,550054000,557743000,565445000,573159000,580875000,588583000,596267000,603926000,611559000,619157000,626709000,634207000,641636000,649003000,656297000,663517000,670652000
Argentina,ARG,46210000,46607000,47000000,47387000,47769000,48145000,48515000,48879000,49237000,49588000,49932000,50270000,50601000,50925000,51244000,51556000,51861000,52161000,52454000,52740000,53019000,53293000,53559000,53819000,54073000,54320000,54561000,54795000,55020000
Armenia,ARM,2972000,2975000,2977000,2977000,2977000,2976000,2974000,2971000,2967000,2963000,2958000,2952000,2947000,2940000,2934000,2927000,2920000,2913000,2905000,2897000,2890000,2882000,2873000,2865000,2856000,2846000,2837000,2827000,2816000
Aruba,ABW,108000,108000,108000,109000,109000,109000,110000,110000,110000,110000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,110000,110000,110000,110000,109000,109000,109000,109000
Australia,AUS,26010000,26278000,26542000,26803000,27062000,27317000,27569000,27817000,28062000,28303000,28541000,28776000,29009000,29239000,29466000,29692000,29916000,30139000,30362000,30583000,30805000,31025000,31246000,31466000,31687000,31907000,32127000,32347000,32564000
Austria,AUT,8970000,8978000,8985000,8995000,9007000,9020000,9034000,9047000,9058000,9067000,9075000,9081000,9086000,9089000,9091000,9092000,9090000,9087000,9082000,9075000,9067000,9056000,9045000,9032000,9018000,9003000,8987000,8972000,8955000
Azerbaijan,AZE,10220000,10289000,10353000,10412000,10467000,10519000,10567000,10612000,10654000,10695000,10733000,10770000,10805000,10837000,10868000,10895000,10919000,10941000,10958000,10972000,10982000,10988000,10990000,10989000,10985000,10979000,10970000,10959000,10944000
"Bahamas, The",BHS,401000,404000,408000,411000,414000,418000,421000,424000,427000,430000,432000,435000,438000,440000,442000,445000,447000,449000,450000,452000,454000,455000,457000,458000,459000,460000,462000,462000,463000
Bahrain,BHR,1784000,1812000,1838000,1865000,1895000,1926000,1957000,1986000,2013000,2038000,2060000,2081000,2100000,2119000,2137000,2154000,2170000,2185000,2200000,2214000,2227000,2240000,2253000,2265000,2276000,2287000,2297000,2307000,2316000
Bangladesh,BGD,167886000,169432000,170937000,172399000,173814000,175180000,176498000,177769000,178994000,180171000,181300000,182377000,183403000,184374000,185291000,186152000,186960000,187715000,188417000,189066000,189663000,190208000,190701000,191142000,191532000,191871000,192157000,192390000,192568000
Barbados,BRB,288000,288000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000,288000,288000,287000,287000,286000,285000,284000,283000,283000,282000,280000,279000,278000,277000
Belarus,BLR,9328000,9313000,9296000,9277000,9257000,9236000,9213000,9188000,9160000,9130000,9098000,9064000,9027000,8989000,8951000,8912000,8873000,8836000,8800000,8765000,8731000,8698000,8667000,8636000,8606000,8577000,8549000,8523000,8496000
Belgium,BEL,11618000,11647000,11676000,11705000,11735000,11764000,11792000,11818000,11842000,11864000,11885000,11904000,11922000,11939000,11956000,11971000,11986000,12000000,12013000,12026000,12037000,12047000,12057000,12065000,12072000,12078000,12084000,12089000,12093000
Belize,BLZ,412000,419000,427000,434000,441000,448000,454000,461000,468000,474000,480000,487000,493000,499000,504000,510000,516000,521000,526000,531000,536000,541000,546000,550000,555000,559000,563000,567000,571000
Benin,BEN,12785000,13124000,13470000,13822000,14180000,14544000,14915000,15291000,15672000,16060000,16453000,16851000,17254000,17663000,18076000,18494000,18917000,19344000,19775000,20210000,20649000,21091000,21537000,21986000,22439000,22895000,23354000,23816000,24280000
Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,788000,796000,803000,811000,818000,824000,831000,837000,843000,848000,853000,858000,863000,867000,871000,875000,879000,882000,885000,888000,891000,893000,895000,897000,899000,901000,902000,904000,905000
