Year,Age,Male_Germans,Female_Germans,Age_Demographic
2000,0,1649,1204,age_0_25
2000,1,153,112,age_0_25
2000,2,78,70,age_0_25
2000,3,75,51,age_0_25
2000,4,53,36,age_0_25
2000,5,37,38,age_0_25
2000,6,56,32,age_0_25
2000,7,40,37,age_0_25
2000,8,50,34,age_0_25
2000,9,55,33,age_0_25
2000,10,46,41,age_0_25
2000,11,67,46,age_0_25
2000,12,68,38,age_0_25
2000,13,68,51,age_0_25
2000,14,76,54,age_0_25
2000,15,95,78,age_0_25
2000,16,195,85,age_0_25
2000,17,257,115,age_0_25
2000,18,411,144,age_0_25
2000,19,418,148,age_0_25
2000,20,445,143,age_0_25
2000,21,386,118,age_0_25
2000,22,377,124,age_0_25
2000,23,338,126,age_0_25
2000,24,367,116,age_0_25
2000,25,303,96,age_0_25
2000,26,345,113,age_26_50
2000,27,344,138,age_26_50
2000,28,406,155,age_26_50
2000,29,467,179,age_26_50
2000,30,505,169,age_26_50
2000,31,551,242,age_26_50
2000,32,624,284,age_26_50
2000,33,668,313,age_26_50
2000,34,775,350,age_26_50
2000,35,807,388,age_26_50
2000,36,904,420,age_26_50
2000,37,987,481,age_26_50
2000,38,1083,560,age_26_50
2000,39,1143,559,age_26_50
2000,40,1308,582,age_26_50
2000,41,1390,668,age_26_50
2000,42,1509,785,age_26_50
2000,43,1614,805,age_26_50
2000,44,1767,867,age_26_50
2000,45,1863,933,age_26_50
2000,46,2020,997,age_26_50
2000,47,2103,1086,age_26_50
2000,48,2345,1189,age_26_50
2000,49,2558,1259,age_26_50
2000,50,2602,1366,age_26_50
2000,51,2796,1417,age_51_75
2000,52,2654,1435,age_51_75
2000,53,2886,1428,age_51_75
2000,54,2520,1269,age_51_75
2000,55,3182,1560,age_51_75
2000,56,4040,2077,age_51_75
2000,57,4301,2133,age_51_75
2000,58,5371,2570,age_51_75
2000,59,6209,2946,age_51_75
2000,60,7297,3470,age_51_75
2000,61,7568,3628,age_51_75
2000,62,7549,3665,age_51_75
2000,63,8057,3841,age_51_75
2000,64,8236,4259,age_51_75
2000,65,9243,4608,age_51_75
2000,66,8495,4429,age_51_75
2000,67,8355,4333,age_51_75
2000,68,9100,4976,age_51_75
2000,69,10017,5685,age_51_75
2000,70,11299,6686,age_51_75
2000,71,11913,7179,age_51_75
2000,72,11606,7957,age_51_75
2000,73,10973,8633,age_51_75
2000,74,11063,9726,age_51_75
2000,75,10629,10939,age_51_75
2000,76,10169,11942,age_76_100
2000,77,11130,13168,age_76_100
2000,78,12212,15210,age_76_100
2000,79,12506,17104,age_76_100
2000,80,11951,17915,age_76_100
2000,81,7235,11137,age_76_100
2000,82,6228,9914,age_76_100
2000,83,6605,11444,age_76_100
2000,84,7259,13642,age_76_100
2000,85,9820,20142,age_76_100
2000,86,10226,21708,age_76_100
2000,87,9645,22052,age_76_100
2000,88,8487,20802,age_76_100
2000,89,7329,19556,age_76_100
2000,90,6367,17967,age_76_100
2000,91,5334,16157,age_76_100
2000,92,4228,13931,age_76_100
2000,93,3216,11213,age_76_100
2000,94,2422,8731,age_76_100
2000,95,1721,6610,age_76_100
2000,96,1254,4828,age_76_100
2000,97,820,3593,age_76_100
2000,98,484,2562,age_76_100
2000,99,321,1594,age_76_100
2000,100,422,2503,age_76_100
2001,0,1581,1143,age_0_25
2001,1,150,118,age_0_25
2001,2,100,65,age_0_25
2001,3,95,53,age_0_25
2001,4,53,59,age_0_25
2001,5,46,28,age_0_25
2001,6,43,42,age_0_25
2001,7,42,23,age_0_25
2001,8,41,33,age_0_25
2001,9,53,31,age_0_25
2001,10,47,35,age_0_25
2001,11,55,36,age_0_25
2001,12,69,41,age_0_25
2001,13,89,58,age_0_25
2001,14,95,65,age_0_25
2001,15,103,64,age_0_25
2001,16,185,82,age_0_25
2001,17,195,101,age_0_25
2001,18,405,145,age_0_25
2001,19,386,175,age_0_25
2001,20,408,147,age_0_25
2001,21,381,132,age_0_25
2001,22,359,99,age_0_25
2001,23,360,113,age_0_25
2001,24,312,106,age_0_25
2001,25,317,103,age_0_25
2001,26,292,101,age_26_50
2001,27,322,133,age_26_50
2001,28,329,127,age_26_50
2001,29,380,148,age_26_50
2001,30,424,161,age_26_50
2001,31,489,183,age_26_50
2001,32,572,223,age_26_50
2001,33,614,251,age_26_50
2001,34,664,295,age_26_50
2001,35,809,399,age_26_50
2001,36,853,442,age_26_50
2001,37,907,490,age_26_50
2001,38,1072,525,age_26_50
2001,39,1147,584,age_26_50
2001,40,1251,646,age_26_50
2001,41,1333,701,age_26_50
2001,42,1481,679,age_26_50
2001,43,1575,762,age_26_50
2001,44,1672,863,age_26_50
2001,45,1833,896,age_26_50
2001,46,2045,1009,age_26_50
2001,47,2206,1066,age_26_50
2001,48,2288,1169,age_26_50
2001,49,2428,1289,age_26_50
2001,50,2597,1386,age_26_50
2001,51,2797,1420,age_51_75
2001,52,2880,1500,age_51_75
2001,53,2812,1529,age_51_75
2001,54,3034,1554,age_51_75
2001,55,2680,1346,age_51_75
2001,56,3283,1714,age_51_75
2001,57,4455,2146,age_51_75
2001,58,4529,2261,age_51_75
2001,59,5569,2656,age_51_75
2001,60,6648,3050,age_51_75
2001,61,7630,3766,age_51_75
2001,62,7712,3799,age_51_75
2001,63,7873,3862,age_51_75
2001,64,8289,4161,age_51_75
2001,65,8649,4487,age_51_75
2001,66,9324,4926,age_51_75
2001,67,8567,4617,age_51_75
2001,68,8468,4573,age_51_75
2001,69,9315,5372,age_51_75
2001,70,10551,6109,age_51_75
2001,71,11563,6929,age_51_75
2001,72,11901,7701,age_51_75
2001,73,11729,8368,age_51_75
2001,74,11245,9206,age_51_75
2001,75,11152,10334,age_51_75
2001,76,10742,11652,age_76_100
2001,77,10589,12390,age_76_100
2001,78,11103,13923,age_76_100
2001,79,12010,16475,age_76_100
2001,80,12324,18000,age_76_100
2001,81,12083,18694,age_76_100
2001,82,6854,11518,age_76_100
2001,83,5768,10195,age_76_100
2001,84,6094,11402,age_76_100
2001,85,6758,13665,age_76_100
2001,86,9275,20247,age_76_100
2001,87,9389,21452,age_76_100
2001,88,8591,21047,age_76_100
2001,89,7437,19624,age_76_100
2001,90,6172,17922,age_76_100
2001,91,5380,16826,age_76_100
2001,92,4273,14267,age_76_100
2001,93,3223,11917,age_76_100
2001,94,2557,9470,age_76_100
2001,95,1896,7130,age_76_100
2001,96,1295,5272,age_76_100
2001,97,857,3795,age_76_100
2001,98,552,2620,age_76_100
2001,99,324,1782,age_76_100
2001,100,449,2781,age_76_100
2002,0,1493,1215,age_0_25
2002,1,139,136,age_0_25
2002,2,73,66,age_0_25
2002,3,64,60,age_0_25
2002,4,44,49,age_0_25
2002,5,54,37,age_0_25
2002,6,38,33,age_0_25
2002,7,42,26,age_0_25
2002,8,41,31,age_0_25
2002,9,28,25,age_0_25
2002,10,38,26,age_0_25
2002,11,54,36,age_0_25
2002,12,62,44,age_0_25
2002,13,58,53,age_0_25
2002,14,78,48,age_0_25
2002,15,103,85,age_0_25
2002,16,203,85,age_0_25
2002,17,229,93,age_0_25
2002,18,382,133,age_0_25
2002,19,397,117,age_0_25
2002,20,366,138,age_0_25
2002,21,377,122,age_0_25
2002,22,372,126,age_0_25
2002,23,342,115,age_0_25
2002,24,304,123,age_0_25
2002,25,287,108,age_0_25
2002,26,269,100,age_26_50
2002,27,284,123,age_26_50
2002,28,310,138,age_26_50
2002,29,334,110,age_26_50
2002,30,386,160,age_26_50
2002,31,420,190,age_26_50
2002,32,468,217,age_26_50
2002,33,566,229,age_26_50
2002,34,645,303,age_26_50
2002,35,713,337,age_26_50
2002,36,801,397,age_26_50
2002,37,895,435,age_26_50
2002,38,1050,468,age_26_50
2002,39,1116,549,age_26_50
2002,40,1292,602,age_26_50
2002,41,1323,659,age_26_50
2002,42,1470,759,age_26_50
2002,43,1584,849,age_26_50
2002,44,1732,879,age_26_50
2002,45,1951,1003,age_26_50
2002,46,2004,1001,age_26_50
2002,47,2173,1105,age_26_50
2002,48,2337,1133,age_26_50
2002,49,2480,1306,age_26_50
2002,50,2734,1346,age_26_50
2002,51,2800,1506,age_51_75
2002,52,3114,1596,age_51_75
2002,53,3065,1624,age_51_75
2002,54,3153,1593,age_51_75
2002,55,3291,1714,age_51_75
2002,56,2826,1390,age_51_75
2002,57,3504,1897,age_51_75
2002,58,4636,2326,age_51_75
2002,59,4919,2315,age_51_75
2002,60,5841,2957,age_51_75
2002,61,6894,3235,age_51_75
2002,62,8127,3932,age_51_75
2002,63,8342,4147,age_51_75
2002,64,8161,4061,age_51_75
2002,65,8793,4500,age_51_75
2002,66,9092,4878,age_51_75
2002,67,10114,5269,age_51_75
2002,68,8963,5099,age_51_75
2002,69,8735,4940,age_51_75
2002,70,9689,5694,age_51_75
2002,71,10977,6819,age_51_75
2002,72,11845,7505,age_51_75
2002,73,12555,8426,age_51_75
2002,74,12367,9174,age_51_75
2002,75,11663,10274,age_51_75
2002,76,11534,11426,age_76_100
2002,77,11164,12597,age_76_100
2002,78,10749,13498,age_76_100
2002,79,11245,15097,age_76_100
2002,80,12322,17783,age_76_100
2002,81,12448,19726,age_76_100
2002,82,11976,19723,age_76_100
2002,83,6976,12268,age_76_100
2002,84,5834,10918,age_76_100
2002,85,6067,11763,age_76_100
2002,86,6451,14060,age_76_100
2002,87,8727,20402,age_76_100
2002,88,8793,21605,age_76_100
2002,89,7781,20998,age_76_100
2002,90,6593,19241,age_76_100
2002,91,5568,16873,age_76_100
2002,92,4532,15089,age_76_100
2002,93,3578,12727,age_76_100
2002,94,2652,10313,age_76_100
2002,95,2024,8146,age_76_100
2002,96,1304,5913,age_76_100
2002,97,900,4191,age_76_100
2002,98,591,2940,age_76_100
2002,99,338,1912,age_76_100
2002,100,449,3120,age_76_100
2003,0,1502,1158,age_0_25
2003,1,143,117,age_0_25
2003,2,69,66,age_0_25
2003,3,69,55,age_0_25
2003,4,51,31,age_0_25
2003,5,53,46,age_0_25
2003,6,49,36,age_0_25
2003,7,51,36,age_0_25
2003,8,51,33,age_0_25
2003,9,39,24,age_0_25
2003,10,37,37,age_0_25
2003,11,63,34,age_0_25
2003,12,53,32,age_0_25
2003,13,61,36,age_0_25
2003,14,97,62,age_0_25
2003,15,115,68,age_0_25
2003,16,167,92,age_0_25
2003,17,237,104,age_0_25
2003,18,315,113,age_0_25
2003,19,365,117,age_0_25
2003,20,358,139,age_0_25
2003,21,365,110,age_0_25
2003,22,323,119,age_0_25
2003,23,328,122,age_0_25
2003,24,323,92,age_0_25
2003,25,343,102,age_0_25
2003,26,330,117,age_26_50
2003,27,312,112,age_26_50
2003,28,305,110,age_26_50
