index,year,actual,xgb_rcp45,xgb_rcp85,gradient_boost_rcp45,gradient_boost_rcp85
0,1991,204.0,NaN,NaN,NaN,NaN
1,1992,204.0,NaN,NaN,NaN,NaN
2,1993,211.0,NaN,NaN,NaN,NaN
3,1994,211.0,NaN,NaN,NaN,NaN
4,1995,225.0,NaN,NaN,NaN,NaN
5,1996,232.0,NaN,NaN,NaN,NaN
6,1997,221.0,NaN,NaN,NaN,NaN
7,1998,202.0,NaN,NaN,NaN,NaN
8,1999,185.0,NaN,NaN,NaN,NaN
9,2000,179.0,NaN,NaN,NaN,NaN
10,2001,176.0,NaN,NaN,NaN,NaN
11,2002,173.0,NaN,NaN,NaN,NaN
12,2003,176.0,NaN,NaN,NaN,NaN
13,2004,160.0,NaN,NaN,NaN,NaN
14,2005,165.0,NaN,NaN,NaN,NaN
15,2006,196.0,NaN,NaN,NaN,NaN
16,2007,151.0,NaN,NaN,NaN,NaN
17,2008,151.0,NaN,NaN,NaN,NaN
18,2009,185.0,NaN,NaN,NaN,NaN
19,2010,216.0,NaN,NaN,NaN,NaN
20,2011,153.0,NaN,NaN,NaN,NaN
21,2012,169.0,NaN,NaN,NaN,NaN
22,2013,156.0,NaN,NaN,NaN,NaN
23,2014,151.0,NaN,NaN,NaN,NaN
24,2015,155.0,NaN,NaN,NaN,NaN
25,2016,148.0,NaN,NaN,NaN,NaN
26,2017,149.0,NaN,NaN,NaN,NaN
27,2018,149.0,NaN,NaN,NaN,NaN
28,2019,150.0,NaN,NaN,NaN,NaN
29,2020,NaN,293.0,293.0,156.0,156.0
30,2021,NaN,293.0,293.0,156.0,156.0
31,2022,NaN,293.0,293.0,156.0,156.0
32,2023,NaN,293.0,293.0,275.0,275.0
33,2024,NaN,293.0,293.0,275.0,277.0
34,2025,NaN,293.0,293.0,275.0,277.0
35,2026,NaN,293.0,293.0,292.0,294.0
36,2027,NaN,293.0,293.0,342.0,344.0
37,2028,NaN,293.0,293.0,330.0,330.0
38,2029,NaN,293.0,293.0,330.0,330.0
39,2030,NaN,293.0,293.0,331.0,331.0
40,2031,NaN,293.0,293.0,331.0,331.0
41,2032,NaN,304.0,304.0,340.0,341.0
42,2033,NaN,304.0,304.0,396.0,396.0
43,2034,NaN,304.0,304.0,405.0,406.0
44,2035,NaN,304.0,304.0,395.0,395.0
45,2036,NaN,304.0,304.0,395.0,395.0
46,2037,NaN,304.0,304.0,396.0,395.0
47,2038,NaN,304.0,304.0,396.0,395.0
48,2039,NaN,304.0,304.0,395.0,390.0
49,2040,NaN,304.0,304.0,395.0,390.0
50,2041,NaN,304.0,304.0,397.0,393.0
51,2042,NaN,304.0,304.0,397.0,393.0
52,2043,NaN,304.0,304.0,397.0,393.0
53,2044,NaN,304.0,304.0,397.0,393.0
54,2045,NaN,304.0,304.0,397.0,396.0
55,2046,NaN,304.0,304.0,393.0,396.0
56,2047,NaN,304.0,304.0,393.0,391.0
57,2048,NaN,304.0,304.0,393.0,391.0
58,2049,NaN,304.0,304.0,393.0,394.0
59,2050,NaN,304.0,304.0,393.0,394.0
