Year,Male_Germans_age_0_25,Male_Germans_age_26_50,Male_Germans_age_51_75,Male_Germans_age_75_100,Female_Germans_age_0_25,Female_Germans_age_26_50,Female_Germans_age_51_75,Female_Germans_age_75_100
2000,6163,30688,185359,157391,3170,14888,110849,315425
2001,5970,29583,182655,155995,3097,14528,107386,314066
2002,5668,29337,183466,160596,3130,14398,106871,322329
2003,5627,28992,184602,166608,2981,14053,105616,329004
2004,5162,27601,177383,163088,2874,13504,100669,311861
2005,4885,26629,175115,171322,2665,13382,99870,319632
2006,4590,25549,171143,174086,2522,12982,97350,316459
2007,4649,24839,169557,180862,2508,12546,96547,317664
2008,4340,23977,168798,188335,2397,12434,97927,326258
2009,4200,23466,170371,194417,2366,12173,98439,328399
2010,3934,22710,170944,198926,2338,11893,99088,328754
2011,4029,21309,166433,203361,2283,11573,98130,324837
2012,3714,20227,164775,214278,2110,10964,96754,334938
2013,3483,19539,165929,226352,2140,10690,98002,344195
2014,3449,18628,159893,225595,2034,9839,94238,330530
2015,3404,18446,164116,246925,2145,9857,96734,356456
2016,3442,17447,158581,250715,2130,9540,93645,345740
2017,3184,16282,155846,263737,2052,8828,92866,358719
2018,3213,15771,157863,273124,1955,8703,94012,365016
2019,3055,14905,154894,272358,1813,8108,92324,357975
2020,2740,14735,159591,292614,1698,7836,93169,375547
2021,2992,14870,169900,301541,1839,7954,98287,383059
