year,temp_rcp_45
1986,8.726441138525008
1987,8.74904553671552
1988,8.760189642476947
1989,8.778143244875707
1990,8.808853836486074
1991,8.84492902536134
1992,8.900335831717719
1993,8.93506664021921
1994,8.959633543392593
1995,9.010756612364105
1996,9.03015040544365
1997,9.063670934291398
1998,9.089902056295449
1999,9.111545659755397
2000,9.140846617870865
2001,9.159503025362378
2002,9.202696501203393
2003,9.236450617368048
2004,9.249842251185463
2005,9.281829487415001
2006,9.305811675450794
2007,9.31900833353116
2008,9.361613678170299
2009,9.376869320586971
2010,9.383479159723116
2011,9.42196479389885
2012,9.462666614983855
2013,9.479192384686147
2014,9.503082237587313
2015,9.514134699558188
2016,9.514059725929743
2017,9.55426666865884
2018,9.582436640124028
2019,9.602731874070859
2020,9.624191117778544
2021,9.624966446032985
2022,9.625370511785642
2023,9.665374366584702
2024,9.700772246644487
2025,9.748037277314522
2026,9.774235445325838
2027,9.803565024905847
2028,9.813270745193972
2029,9.820806506552803
2030,9.846610398853546
2031,9.874071321232888
2032,9.879802956649598
2033,9.887654755485716
2034,9.919804153782689
2035,9.92427503672154
2036,9.961806178491754
2037,9.97920745443357
2038,9.987879965974638
2039,10.026120844278175
2040,10.049841264711969
2041,10.08989006398876
2042,10.102880130480171
2043,10.135776937456587
2044,10.153762684032579
2045,10.16777582683035
2046,10.181374523029522
2047,10.181156233854558
2048,10.209894073401655
2049,10.234907638936932
2050,10.258184084511417
2051,10.299754814281417
2052,10.327553674042791
2053,10.325000401340153
2054,10.334608559409716
2055,10.32198064248144
2056,10.343862110869898
2057,10.355944688768119
2058,10.37049563676496
2059,10.396901463545001
2060,10.434343594560277
2061,10.449698219068043
2062,10.479385203377337
2063,10.495481578875697
2064,10.500488956808063
2065,10.54393559842177
2066,10.566238010099156
2067,10.599864173523693
2068,10.604668462778308
2069,10.616838683416008
2070,10.660549867508786
2071,10.65326850954988
2072,10.670367017109992
2073,10.694275899504333
2074,10.710088027746608
2075,10.73578189514062
2076,10.740518794905197
2077,10.750378045458863
2078,10.75961131194791
2079,10.769878977781406
2080,10.77328783222184
2081,10.783230710268898
2082,10.790696731576137
2083,10.822584844180588
2084,10.82204620071134
2085,10.838437513717562
